PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance
PO-00037,SigmaSource,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes
PO-00038,IotaProcure,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes
PO-00039,BetaLogistics,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes
PO-00040,UpsilonMart,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes
PO-00041,OmicronGoods,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes
PO-00042,EtaPartners,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No
PO-00043,MuTrade,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes
PO-00044,ThetaDistributors,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes
PO-00045,OmicronGoods,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes
PO-00046,GammaSupplies,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes
PO-00047,XiEquip,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes
PO-00048,RhoEnterprises,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes
PO-00049,DeltaTools,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes
PO-00050,SigmaSource,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes
PO-00051,ThetaDistributors,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,,Yes
PO-00052,DeltaTools,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes
PO-00053,BetaLogistics,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No
PO-00054,ZetaIndustries,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No
PO-00055,KappaWare,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes
PO-00056,DeltaTools,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes
PO-00057,SigmaSource,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes
PO-00058,MuTrade,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,,Yes
PO-00059,BetaLogistics,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes
PO-00060,KappaWare,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes
PO-00061,DeltaTools,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes
PO-00062,XiEquip,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes
PO-00063,PiGlobal,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes
PO-00064,OmicronGoods,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes
PO-00065,ThetaDistributors,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes
PO-00066,XiEquip,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No
PO-00067,ThetaDistributors,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes
PO-00068,PiGlobal,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes
PO-00069,NuChain,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,,Yes
PO-00070,SigmaSource,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes
PO-00071,OmicronGoods,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes
PO-00072,NuChain,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes
PO-00073,IotaProcure,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes
PO-00074,OmicronGoods,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes
PO-00075,NuChain,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,,Yes
PO-00076,AlphaTech,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes
PO-00077,EtaPartners,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes
PO-00078,IotaProcure,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,,No
PO-00079,AlphaTech,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No
PO-00080,MuTrade,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No
PO-00081,ThetaDistributors,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,,No
PO-00082,LambdaLink,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,,Yes
PO-00083,TauDeliveries,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes
PO-00084,RhoEnterprises,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No
PO-00085,ThetaDistributors,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes
PO-00086,GammaSupplies,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No
PO-00087,GammaSupplies,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No
PO-00088,AlphaTech,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No
PO-00089,EpsilonCo,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes
PO-00090,KappaWare,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes
PO-00091,EtaPartners,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes
PO-00092,IotaProcure,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes
PO-00093,EtaPartners,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,,Yes
PO-00094,IotaProcure,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes
PO-00095,ThetaDistributors,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes
PO-00096,MuTrade,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No
PO-00097,BetaLogistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,,No
PO-00098,AlphaTech,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes
PO-00099,PiGlobal,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes
PO-00100,EpsilonCo,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No
PO-00101,GammaSupplies,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes
PO-00102,MuTrade,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes
PO-00103,ThetaDistributors,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes
PO-00104,GammaSupplies,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes
PO-00105,AlphaTech,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes
PO-00106,GammaSupplies,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No
PO-00107,EpsilonCo,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes
PO-00108,OmicronGoods,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes
PO-00109,XiEquip,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No
PO-00110,GammaSupplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes
PO-00111,AlphaTech,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes
PO-00112,EpsilonCo,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No
PO-00113,XiEquip,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes
PO-00114,EtaPartners,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No
PO-00115,IotaProcure,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,,Yes
PO-00116,OmicronGoods,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes
PO-00117,OmicronGoods,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes
PO-00118,KappaWare,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes
PO-00119,NuChain,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes
PO-00120,TauDeliveries,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes
PO-00121,EtaPartners,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes
PO-00122,RhoEnterprises,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes
PO-00123,UpsilonMart,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes
PO-00124,DeltaTools,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes
PO-00125,EpsilonCo,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes
PO-00126,EtaPartners,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes
PO-00127,NuChain,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No
PO-00128,OmicronGoods,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes
PO-00129,LambdaLink,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes
PO-00130,DeltaTools,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes
PO-00131,NuChain,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,,Yes
PO-00132,EtaPartners,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes
PO-00133,TauDeliveries,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes
PO-00134,BetaLogistics,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes
PO-00135,KappaWare,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,,Yes
PO-00136,NuChain,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,,Yes
PO-00137,ZetaIndustries,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No
PO-00138,MuTrade,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No
PO-00139,MuTrade,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes
PO-00140,UpsilonMart,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes
PO-00141,LambdaLink,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No
PO-00142,EtaPartners,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes
PO-00143,AlphaTech,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes
PO-00144,AlphaTech,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes
PO-00145,UpsilonMart,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,,Yes
PO-00146,NuChain,2023-04-25,,Electronics,Pending,468,95.57,91.8,24.0,Yes
PO-00147,IotaProcure,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No
PO-00148,GammaSupplies,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes
PO-00149,EtaPartners,2023-07-21,,Packaging,Delivered,1846,13.72,12.62,216.0,Yes
PO-00150,ZetaIndustries,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes
PO-00151,ThetaDistributors,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes
PO-00152,IotaProcure,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,,No
PO-00153,EpsilonCo,2023-11-30,2023-12-17,Electronics,Pending,90,32.38,29.96,7.0,Yes
PO-00154,AlphaTech,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No
PO-00155,TauDeliveries,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes
PO-00156,KappaWare,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes
PO-00157,MuTrade,2022-12-15,,Packaging,Cancelled,1913,66.56,61.34,61.0,Yes
PO-00158,OmicronGoods,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,,Yes
PO-00159,IotaProcure,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes
PO-00160,UpsilonMart,2023-03-22,2023-04-09,Electronics,Partially Delivered,1106,97.77,90.45,31.0,Yes
PO-00161,RhoEnterprises,2022-06-11,2022-06-24,Office Supplies,Pending,1121,42.38,38.34,152.0,Yes
PO-00162,RhoEnterprises,2023-04-10,2023-04-21,Office Supplies,Delivered,552,60.48,56.78,10.0,Yes
PO-00163,UpsilonMart,2022-01-04,2022-01-12,Packaging,Delivered,456,80.53,77.86,26.0,Yes
PO-00164,MuTrade,2022-09-27,2022-10-05,Packaging,Delivered,1647,47.52,44.92,,Yes
PO-00165,EtaPartners,2023-05-28,2023-06-11,Electronics,Pending,1801,71.27,61.24,43.0,Yes
PO-00166,BetaLogistics,2022-07-02,2022-07-18,Electronics,Delivered,854,90.24,85.53,,Yes
PO-00167,GammaSupplies,2023-06-04,2023-06-17,Electronics,Delivered,148,103.57,98.62,23.0,No
PO-00168,RhoEnterprises,2022-04-19,2022-04-24,MRO,Delivered,733,23.59,22.85,92.0,Yes
PO-00169,EpsilonCo,2023-10-03,2023-10-05,Raw Materials,Delivered,1945,103.2,88.56,,Yes
PO-00170,RhoEnterprises,2022-11-02,2022-11-21,Raw Materials,Delivered,775,57.0,49.14,48.0,Yes
PO-00171,RhoEnterprises,2023-10-17,2023-10-21,Packaging,Delivered,1620,36.73,33.45,235.0,No
PO-00172,RhoEnterprises,2023-06-04,2023-06-19,Office Supplies,Delivered,1010,55.68,50.86,,Yes
PO-00173,BetaLogistics,2023-09-16,2023-10-01,Office Supplies,Delivered,1812,108.02,101.02,51.0,Yes
PO-00174,BetaLogistics,2022-07-23,2022-07-28,Office Supplies,Delivered,662,55.97,50.0,100.0,Yes
PO-00175,EpsilonCo,2022-06-06,2022-06-11,Office Supplies,Pending,1535,40.58,38.71,165.0,Yes
PO-00176,AlphaTech,2023-01-18,2023-01-27,Raw Materials,Delivered,692,71.03,67.74,70.0,Yes
PO-00177,AlphaTech,2022-06-15,2022-06-28,MRO,Delivered,1842,32.4,28.08,96.0,Yes
PO-00178,TauDeliveries,2023-07-07,2023-07-18,Office Supplies,Cancelled,1078,18.34,17.41,102.0,Yes
PO-00179,BetaLogistics,2023-06-28,2023-07-16,Packaging,Delivered,1291,23.44,22.23,,Yes
PO-00180,MuTrade,2022-01-01,2022-01-12,Electronics,Delivered,552,21.52,18.79,13.0,Yes
PO-00181,ZetaIndustries,2023-09-06,2023-09-22,Electronics,Delivered,816,26.04,25.61,28.0,Yes
PO-00182,DeltaTools,2022-11-28,2022-11-30,Packaging,Delivered,447,23.62,21.81,50.0,Yes
PO-00183,LambdaLink,2023-05-16,2023-05-24,Packaging,Partially Delivered,920,73.09,70.14,,Yes
PO-00184,RhoEnterprises,2022-01-20,2022-01-30,Packaging,Partially Delivered,844,26.37,25.08,38.0,Yes
PO-00185,ZetaIndustries,2022-04-25,,MRO,Delivered,442,41.73,36.45,15.0,Yes
PO-00186,EpsilonCo,2023-01-07,2023-01-21,Electronics,Cancelled,256,96.15,83.44,26.0,Yes
PO-00187,UpsilonMart,2022-11-11,,MRO,Partially Delivered,1088,55.29,53.04,161.0,No
PO-00188,BetaLogistics,2022-09-03,2022-09-07,Office Supplies,Delivered,1931,72.88,64.69,187.0,Yes
PO-00189,ZetaIndustries,2022-03-01,2022-03-11,Electronics,Delivered,1627,25.76,25.09,74.0,Yes
PO-00190,LambdaLink,2022-09-04,,Packaging,Delivered,941,28.4,27.21,,No
PO-00191,PiGlobal,2023-08-04,2023-08-06,MRO,Delivered,1534,14.98,12.79,,Yes
PO-00192,PiGlobal,2022-03-22,2022-04-03,Raw Materials,Delivered,1764,25.46,24.52,46.0,Yes
PO-00193,AlphaTech,2022-03-29,2022-04-06,Electronics,Delivered,1648,35.42,31.46,,No
PO-00194,IotaProcure,2023-05-13,2023-06-01,Packaging,Delivered,913,28.01,24.06,53.0,Yes
PO-00195,ZetaIndustries,2022-03-12,2022-03-18,Packaging,Cancelled,792,18.16,17.25,17.0,Yes
PO-00196,PiGlobal,2023-06-30,2023-07-03,Office Supplies,Partially Delivered,1314,22.63,21.06,44.0,Yes
PO-00197,GammaSupplies,2022-05-09,2022-05-22,MRO,Delivered,613,52.5,45.19,70.0,Yes
PO-00198,UpsilonMart,2022-05-12,2022-05-20,Office Supplies,Delivered,1070,29.14,26.63,24.0,Yes
PO-00199,DeltaTools,2023-11-07,2023-11-26,Raw Materials,Partially Delivered,145,47.49,42.76,6.0,Yes
PO-00200,TauDeliveries,2023-05-02,2023-05-17,Raw Materials,Delivered,1973,59.73,54.95,291.0,Yes
PO-00201,GammaSupplies,2023-07-17,2023-08-01,Office Supplies,Delivered,1807,78.63,73.08,100.0,Yes
PO-00202,TauDeliveries,2022-06-19,2022-06-20,Electronics,Delivered,534,13.88,12.51,100.0,Yes
PO-00203,UpsilonMart,2022-09-29,2022-10-14,Electronics,Delivered,1480,85.22,75.48,100.0,Yes
PO-00204,EtaPartners,2023-06-25,,Office Supplies,Delivered,280,72.16,62.38,100.0,Yes
PO-00205,UpsilonMart,2023-09-14,2023-09-20,Office Supplies,Cancelled,798,19.09,17.76,100.0,Yes
PO-00206,IotaProcure,2023-03-10,2023-03-22,Electronics,Delivered,1728,94.83,90.2,100.0,Yes
PO-00207,AlphaTech,2022-08-05,,MRO,Delivered,1244,96.13,84.78,43.0,Yes
PO-00208,ThetaDistributors,2023-07-07,2023-07-21,Office Supplies,Delivered,590,16.89,15.56,46.0,No
PO-00209,EtaPartners,2023-12-08,2023-12-23,Packaging,Delivered,1109,38.93,33.33,152.0,Yes
PO-00210,SigmaSource,2022-07-25,2022-08-01,MRO,Delivered,574,85.03,82.55,54.0,Yes
PO-00211,ThetaDistributors,2024-01-01,,Office Supplies,Delivered,1233,86.62,76.59,65.0,Yes
PO-00212,AlphaTech,2022-11-16,2022-11-20,Packaging,Delivered,1912,27.94,25.59,83.0,No
PO-00213,LambdaLink,2023-02-13,2023-03-04,Packaging,Delivered,1772,30.72,27.76,46.0,No
PO-00214,SigmaSource,2023-11-19,2023-11-29,Office Supplies,Delivered,1316,48.11,41.9,135.0,Yes
PO-00215,KappaWare,2023-10-28,,Office Supplies,Delivered,1159,59.24,58.08,,Yes
PO-00216,GammaSupplies,2023-01-18,2023-01-31,Office Supplies,Delivered,1869,69.58,67.5,31.0,Yes
PO-00217,EtaPartners,2023-03-25,2023-04-13,Packaging,Delivered,627,46.23,42.87,,Yes
PO-00218,PiGlobal,2023-06-14,2023-06-16,Raw Materials,Pending,731,56.02,54.78,70.0,No
PO-00219,PiGlobal,2023-04-08,,Office Supplies,Cancelled,606,83.07,79.22,16.0,Yes
PO-00220,UpsilonMart,2022-05-04,2022-05-14,Office Supplies,Delivered,1647,13.57,12.33,157.0,Yes
PO-00221,RhoEnterprises,2022-09-11,2022-09-19,MRO,Delivered,1062,34.03,30.46,,Yes
PO-00222,BetaLogistics,2022-08-19,2022-08-31,Office Supplies,Delivered,695,76.8,69.76,,No
PO-00223,AlphaTech,2022-03-07,2022-03-14,MRO,Delivered,845,91.47,86.97,,Yes
PO-00224,PiGlobal,2022-12-13,2022-12-18,MRO,Delivered,1101,59.13,52.51,54.0,Yes
PO-00225,MuTrade,2022-01-22,2022-01-24,Raw Materials,Delivered,1693,57.89,49.84,88.0,Yes
PO-00226,EpsilonCo,2023-08-26,2023-09-10,Office Supplies,Cancelled,1629,21.51,19.41,250.0,No
PO-00227,EpsilonCo,2023-07-22,2023-08-03,Raw Materials,Delivered,1413,54.79,50.42,,Yes
PO-00228,IotaProcure,2022-08-24,2022-08-27,Packaging,Delivered,1871,59.96,58.54,47.0,Yes
PO-00229,IotaProcure,2023-08-26,,Raw Materials,Delivered,1404,34.85,30.5,78.0,Yes
PO-00230,GammaSupplies,2022-08-14,2022-08-28,Electronics,Delivered,1713,35.43,34.11,74.0,Yes
PO-00231,TauDeliveries,2022-01-08,2022-01-13,Electronics,Delivered,1579,43.96,43.41,74.0,Yes
PO-00232,PiGlobal,2022-03-14,2022-03-26,Electronics,Delivered,1421,11.92,11.72,76.0,Yes
PO-00233,PiGlobal,2023-12-26,2024-01-04,MRO,Delivered,1546,43.47,37.37,53.0,Yes
PO-00234,GammaSupplies,2023-10-09,2023-10-18,Electronics,Delivered,1304,32.08,29.36,,Yes
PO-00235,UpsilonMart,2022-03-02,,Raw Materials,Delivered,239,39.87,35.47,32.0,Yes
PO-00236,AlphaTech,2022-08-23,,Office Supplies,Delivered,1298,21.51,20.83,,Yes
PO-00237,UpsilonMart,2022-03-11,,MRO,Delivered,1458,91.05,81.56,220.0,Yes
PO-00238,LambdaLink,2022-02-02,2022-02-13,MRO,Delivered,1450,63.74,59.11,71.0,Yes
PO-00239,RhoEnterprises,2022-12-05,2022-12-20,Electronics,Delivered,1356,75.03,63.86,131.0,Yes
PO-00240,ThetaDistributors,2022-03-14,,Packaging,Delivered,682,81.84,71.86,40.0,Yes
PO-00241,DeltaTools,2023-06-11,2023-06-19,Packaging,Delivered,677,59.52,55.29,39.0,Yes
PO-00242,ZetaIndustries,2022-09-01,2022-09-14,Office Supplies,Delivered,1022,18.54,16.55,150.0,Yes
PO-00243,ThetaDistributors,2022-10-13,,Raw Materials,Delivered,1818,60.96,57.13,41.0,Yes
PO-00244,UpsilonMart,2023-11-17,2023-11-29,Electronics,Delivered,1332,69.73,63.8,41.0,Yes
PO-00245,GammaSupplies,2023-05-13,2023-05-26,Raw Materials,Delivered,1432,83.26,77.67,174.0,Yes
PO-00246,PiGlobal,2022-08-08,2022-08-26,Packaging,Pending,759,50.56,46.47,63.0,No
PO-00247,GammaSupplies,2023-07-07,2023-07-19,Packaging,Delivered,1529,23.42,22.44,30.0,Yes
PO-00248,SigmaSource,2022-05-16,2022-05-25,Electronics,Delivered,1484,36.25,31.8,61.0,Yes
PO-00249,XiEquip,2023-08-08,2023-08-20,Packaging,Delivered,698,46.73,45.61,15.0,Yes
PO-00250,SigmaSource,2023-08-14,2023-08-22,Packaging,Pending,367,74.61,71.36,13.0,Yes
PO-00251,BetaLogistics,2023-04-30,2023-05-20,Office Supplies,Partially Delivered,1750,65.97,58.34,50.0,Yes
